Location,latitude,longitude,OBJECTID,Name,Status,Year,Source,Comments,created_user,created_date,last_edited_user,last_edited_date,ExtID
38 E Willson Street,43.07358698,-89.37930313,16581,BCycle,PRG,2011,Ortho 2013,Removed,,,PLDMS,2023/12/20 10:27:06+00,1
242 South Pinckney Street,43.07371259,-89.38062418,16582,BCycle,PRG,2011,Ortho 2013,Removed,,,PLDMS,2023/12/20 10:27:06+00,2
312 N. Third Street,43.09718564,-89.35980268,16584,BCycle,PRG,2016,"Morgan Ramaker, Executive Director, Bcycle.",Temporary,PLWJH,2017/05/08 15:55:24+00,PLDMS,2023/12/20 10:27:06+00,3
117 Wisconsin Avenue,43.07572503,-89.38530131,16606,BCycle,EX,2023,GBFS,In use,PLDMS,2023/12/19 14:48:25+00,PLDMS,2023/12/20 10:27:06+00,4
988 E. Gorham St.,43.08634108,-89.37547379,16609,BCycle,EX,2023,GBFS,In use,PLDMS,2023/12/19 14:48:25+00,PLDMS,2023/12/20 10:27:06+00,5
22 West Wilson Street,43.0723673,-89.38179161,16610,BCycle,EX,2023,GBFS,In use,PLDMS,2023/12/19 14:48:25+00,PLDMS,2023/12/20 10:27:06+00,6
92 S. Breese Terrace,43.06760528,-89.41407916,16612,BCycle,EX,2023,GBFS,In use,PLDMS,2023/12/19 14:48:25+00,PLDMS,2023/12/20 10:27:06+00,7
699 N. Park St.,43.07706696,-89.40052933,16614,BCycle,EX,2023,GBFS,In use,PLDMS,2023/12/19 14:48:25+00,PLDMS,2023/12/20 10:27:06+00,8
677 W. Washington St.,43.06739284,-89.39429463,16615,BCycle,EX,2023,GBFS,In use,PLDMS,2023/12/19 14:48:25+00,PLDMS,2023/12/20 10:27:06+00,9
472 E. Gorham St,43.08056623,-89.38372445,16617,BCycle,EX,2023,GBFS,In use,PLDMS,2023/12/19 14:48:25+00,PLDMS,2023/12/20 10:27:06+00,10
229 W. Gilman St.,43.07530446,-89.39250475,16618,BCycle,EX,2023,GBFS,In use,PLDMS,2023/12/19 14:48:25+00,PLDMS,2023/12/20 10:27:06+00,11
150 North Shore Drive,43.06510911,-89.38889286,16619,BCycle,EX,2023,GBFS,In use,PLDMS,2023/12/19 14:48:25+00,PLDMS,2023/12/20 10:27:06+00,12
850 S. Mills St.,43.05718652,-89.40424645,16621,BCycle,EX,2023,GBFS,In use,PLDMS,2023/12/19 14:48:25+00,PLDMS,2023/12/20 10:27:06+00,13
387 S. Few,43.08333281,-89.36445112,16627,BCycle,EX,2023,GBFS,In use,PLDMS,2023/12/19 14:48:25+00,PLDMS,2023/12/20 10:27:06+00,14
633 Langdon Street,43.07578691,-89.3968281,16629,BCycle,EX,2023,GBFS,In use,PLDMS,2023/12/19 14:48:25+00,PLDMS,2023/12/20 10:27:06+00,15
