ID State,State,ID County,County,Latitude,Longitude,yr_2023,yr_2022,yr_2021,yr_2020,yr_2019,yr_2018,yr_2017
04000US55,Wisconsin,05000US55001,"Adams County, WI",43.9462246,-89.7836456,0.223,0.181,0.182,0.237,0.248,0.252,0.293
04000US55,Wisconsin,05000US55003,"Ashland County, WI",46.2062319,-90.6802594,0.211,0.17,0.233,0.231,0.226,0.219,0.251
04000US55,Wisconsin,05000US55005,"Barron County, WI",45.423557,-91.8454099,0.129,0.137,0.119,0.154,0.167,0.165,0.17
04000US55,Wisconsin,05000US55007,"Bayfield County, WI",46.4710241,-91.1983175,0.185,0.175,0.177,0.229,0.215,0.197,0.207
04000US55,Wisconsin,05000US55009,"Brown County, WI",44.4383498,-88.0167093,0.107,0.086,0.124,0.107,0.127,0.121,0.144
04000US55,Wisconsin,05000US55011,"Buffalo County, WI",44.4073658,-91.7547858,0.106,0.107,0.124,0.125,0.125,0.142,0.135
04000US55,Wisconsin,05000US55013,"Burnett County, WI",45.8652437,-92.2673161,0.177,0.131,0.229,0.195,0.207,0.232,0.223
04000US55,Wisconsin,05000US55015,"Calumet County, WI",44.0751086,-88.2144321,0.065,0.045,0.065,0.063,0.065,0.062,0.076
04000US55,Wisconsin,05000US55017,"Chippewa County, WI",45.0740585,-91.2947258,0.132,0.118,0.121,0.149,0.135,0.162,0.153
04000US55,Wisconsin,05000US55019,"Clark County, WI",44.7188146,-90.6214928,0.18,0.211,0.222,0.181,0.187,0.216,0.21
04000US55,Wisconsin,05000US55021,"Columbia County, WI",43.4641929,-89.3478429,0.106,0.074,0.08,0.098,0.1,0.113,0.126
04000US55,Wisconsin,05000US55023,"Crawford County, WI",43.2271639,-90.8938474,0.175,0.192,0.161,0.192,0.184,0.204,0.206
04000US55,Wisconsin,05000US55025,"Dane County, WI",43.0709273,-89.4322174,0.101,0.086,0.072,0.084,0.093,0.1,0.104
04000US55,Wisconsin,05000US55027,"Dodge County, WI",43.413614,-88.7177834,0.1,0.075,0.095,0.108,0.1,0.126,0.117
04000US55,Wisconsin,05000US55029,"Door County, WI",44.7615925,-87.5329747,0.12,0.112,0.138,0.128,0.117,0.14,0.145
